balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.7913608130999435,0.8064516129032258,0.974025974025974,0.8823529411764705,0.9308300395256917,0.9552920623426921,LR,val,train_horizon,12.0,123
0.8220311486048021,0.8125,0.9701492537313433,0.8843537414965987,0.9059052563270603,0.8856961394277163,LR,val,train_horizon,14.5,113
1.0,1.0,1.0,1.0,,,LR,val,train_horizon,14.75,8
0.8380534670008355,0.8175675675675675,0.9603174603174603,0.8832116788321167,0.928654970760234,0.9431043185832382,LR,val,train_horizon,16.0,221
0.8495705007332914,0.828125,0.954954954954955,0.8870292887029289,0.9299182903834067,0.9431761554140101,LR,val,is_censored,0,197
0.7334355163853856,0.7653333333333333,0.9228295819935691,0.836734693877551,0.8414940939306599,0.8815940226494584,LR,val,is_censored,1,504
0.7685071939390851,0.7813121272365805,0.9312796208530806,0.8497297297297297,0.8687254752076646,0.9007431522516808,LR,val,too_sparse,0,701
0.8144196393103996,0.8187919463087249,0.8926829268292683,0.85414235705951,0.8583935806784779,0.8818733405154069,LR,test,overall,all,717
1.0,1.0,1.0,1.0,,,LR,test,source_type,lab,78
0.8018131156548016,0.7804878048780488,0.8674698795180723,0.8216833095577747,0.8592676896511127,0.8726474834909521,LR,test,source_type,synthetic,639
0.6804647785039941,0.7530864197530864,0.7530864197530864,0.7530864197530863,0.6681190994916485,0.7609322975294072,LR,test,train_horizon,8.0,132
0.8224206349206349,0.8271604938271605,0.9305555555555556,0.8758169934640523,0.8412698412698413,0.8700856405132151,LR,test,train_horizon,10.0,121
0.8425925925925926,0.7901234567901234,1.0,0.8827586206896552,0.8949652777777778,0.894648469392744,LR,test,train_horizon,12.0,118
0.9203193033381714,0.9117647058823529,0.9538461538461539,0.9323308270676691,0.9480406386066764,0.9435419566872905,LR,test,train_horizon,14.5,118
1.0,1.0,1.0,1.0,,,LR,test,train_horizon,14.75,18
0.8072727272727273,0.7966101694915254,0.8545454545454545,0.8245614035087718,0.8935454545454545,0.8997524911826735,LR,test,train_horizon,16.0,210
0.8084521130282571,0.797979797979798,0.8494623655913979,0.8229166666666666,0.9048512128032009,0.9047435849619573,LR,test,is_censored,0,179
0.8146723382388626,0.8247126436781609,0.9053627760252366,0.863157894736842,0.8403442910772656,0.8730179095852818,LR,test,is_censored,1,538
0.8144196393103996,0.8187919463087249,0.8926829268292683,0.85414235705951,0.8583935806784779,0.8818733405154069,LR,test,too_sparse,0,717
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,overall,all,2154
1.0,1.0,1.0,1.0,,,RF,train,source_type,lab,217
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,source_type,synthetic,1937
1.0,1.0,1.0,1.0,0.9999999999999999,1.0,RF,train,train_horizon,8.0,372
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,train_horizon,10.0,369
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,train_horizon,12.0,341
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,train_horizon,14.5,387
1.0,1.0,1.0,1.0,,,RF,train,train_horizon,14.75,34
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,train_horizon,16.0,649
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,is_censored,0,545
1.0,1.0,1.0,1.0,1.0,0.9999999999999999,RF,train,is_censored,1,1609
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,too_sparse,0,2154
0.8354227182388014,0.8448275862068966,0.9289099526066351,0.8848758465011287,0.914976473186227,0.928820345550718,RF,val,overall,all,701
1.0,1.0,1.0,1.0,,,RF,val,source_type,lab,41
0.8315976631953264,0.8297872340425532,0.9212598425196851,0.873134328358209,0.906090367736291,0.9053924630414649,RF,val,source_type,synthetic,660
0.6083333333333334,0.6818181818181818,0.8,0.7361963190184048,0.7309722222222222,0.822398496377405,RF,val,train_horizon,8.0,123
0.8529411764705883,0.8552631578947368,0.9558823529411765,0.9027777777777778,0.9079211229946524,0.9261079816171077,RF,val,train_horizon,10.0,112
0.9174195369847544,0.9156626506024096,0.987012987012987,0.95,0.9593450028232636,0.9692551217731046,RF,val,train_horizon,12.0,123
