balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.8471481387407219,0.8589420654911839,0.89501312335958,0.8766066838046274,0.9255825548688135,0.9367226619754461,HGB,val,source_type,synthetic,660
0.6366666666666667,0.7073170731707317,0.7733333333333333,0.7388535031847134,0.7426388888888888,0.8331273117853405,HGB,val,train_horizon,8.0,123
0.8770053475935828,0.921875,0.8676470588235294,0.893939393939394,0.954879679144385,0.9673822536591854,HGB,val,train_horizon,10.0,112
0.926171654432524,0.9367088607594937,0.961038961038961,0.9487179487179488,0.9649915302089216,0.9771233160980265,HGB,val,train_horizon,12.0,123
0.9089876703439326,0.9027777777777778,0.9701492537313433,0.9352517985611511,0.9587929915639195,0.9652380987226411,HGB,val,train_horizon,14.5,113
1.0,1.0,1.0,1.0,,,HGB,val,train_horizon,14.75,8
0.8853383458646616,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.9482873851294904,0.9559055451002394,HGB,val,train_horizon,16.0,221
0.9058244290802431,0.911504424778761,0.9279279279279279,0.9196428571428571,0.9620783574271946,0.9703502980590542,HGB,val,is_censored,0,197
0.829382070206421,0.8584615384615385,0.8971061093247589,0.8773584905660378,0.9172567182580011,0.9410033451298505,HGB,val,is_censored,1,504
0.852248212132022,0.8721461187214612,0.9052132701421801,0.8883720930232558,0.9327956989247312,0.9500576164523563,HGB,val,too_sparse,0,701
0.8413204099467705,0.8669950738916257,0.8585365853658536,0.8627450980392156,0.9340271708906015,0.9481444973037136,HGB,test,overall,all,717
1.0,1.0,1.0,1.0,,,HGB,test,source_type,lab,78
0.8247027196734822,0.8353658536585366,0.8253012048192772,0.8303030303030302,0.9187237549546721,0.9146575233926046,HGB,test,source_type,synthetic,639
0.6902687000726216,0.7625,0.7530864197530864,0.7577639751552795,0.7954490438150569,0.8699417286189651,HGB,test,train_horizon,8.0,132
0.8521825396825397,0.8970588235294118,0.8472222222222222,0.8714285714285713,0.913265306122449,0.9366008852903582,HGB,test,train_horizon,10.0,121
0.8854166666666667,0.8695652173913043,0.9375,0.9022556390977444,0.9730902777777778,0.9781891988821212,HGB,test,train_horizon,12.0,118
0.9084179970972424,0.9354838709677419,0.8923076923076924,0.9133858267716536,0.979100145137881,0.9831964719385526,HGB,test,train_horizon,14.5,118
1.0,1.0,1.0,1.0,,,HGB,test,train_horizon,14.75,18
0.8522727272727273,0.8623853211009175,0.8545454545454545,0.8584474885844747,0.9400000000000001,0.9291974889414726,HGB,test,train_horizon,16.0,210
0.8670292573143286,0.896551724137931,0.8387096774193549,0.8666666666666666,0.9473618404601151,0.9313899770333607,HGB,test,is_censored,0,179
0.8303667014002882,0.8589341692789969,0.8643533123028391,0.8616352201257862,0.9274876172259732,0.9497234425124267,HGB,test,is_censored,1,538
0.8413204099467705,0.8669950738916257,0.8585365853658536,0.8627450980392156,0.9340271708906015,0.9481444973037136,HGB,test,too_sparse,0,717
